AT,V,AP,RH,PE
14.22,45.01,1014.17,70.14,476.5426355037621
27.1,73.21,1002.97,89.68,443.7419695415812
34.48,74.34,1000.91,42.61,445.5319127493488
18.59,39.54,1008.56,68.61,475.8034250587264
13.45,42.44,1012.79,83.12,486.7897181670214
27.63,70.17,1000.42,85.22,445.4354433261324
26.94,73.21,1002.83,91.25,443.5256995184727
26.54,71.98,1005.8,91.16,444.1727549552488
14.1,39.16,1008.19,74.05,475.4556435465359
14.9,52.05,1015.11,77.33,478.51996880182463
10.02,52.75,1021.93,73.68,486.50740882537735
12.81,45.51,1015.46,79.97,483.38295810086265
24.75,52.84,1005.47,69.61,454.3788554566444
31.54,77.24,1008.23,70.19,442.49507289099097
9.14,38.91,1018.62,89.88,489.38835114483663
22.72,50.05,1007.0,88.24,455.3562689767388
22.1,68.63,1015.19,59.05,461.2525876183809
22.12,47.93,1005.5,84.47,454.84895254751024
29.31,64.84,1010.49,53.97,455.50795647388986
34.62,69.05,1000.68,38.35,439.4997975963004
17.77,44.6,1016.97,54.25,473.28741860522416
25.24,68.28,1000.26,78.17,447.6242105577092
26.56,56.57,1013.73,63.9,454.8451916439222
25.02,60.77,1016.71,69.85,455.69814059612617
27.62,72.43,1007.54,71.33,439.2841372539909
23.43,61.47,1007.84,87.11,460.5555104459749
27.35,77.95,1012.14,74.14,443.3329063973024
13.35,39.18,1023.24,61.98,481.5459982390114
5.47,40.62,1018.66,83.61,494.2244454280992
14.79,39.52,1017.95,71.97,481.6721161547321
29.49,69.71,1009.34,56.35,453.25883247937
14.62,46.18,1014.75,96.81,474.5900228164029
13.93,40.24,1017.88,88.35,483.97073603273
14.84,38.91,1013.78,69.27,480.4285176598858
8.81,44.68,1023.06,93.93,491.8297865086199
13.08,44.9,1020.47,86.46,484.2681088943072
32.46,74.33,1012.61,37.07,441.3379529595532
12.03,41.58,1015.09,90.43,476.3886802143223
7.16,38.56,1019.17,70.1,499.2071557985112
4.99,39.04,1020.45,78.89,483.73077038325926
27.11,48.6,1002.78,53.39,450.2899055721617
13.74,42.74,1029.54,70.0,477.0602361813108
16.57,41.79,1005.82,72.25,463.7353742692719
10.45,40.0,1019.01,89.01,478.4047761144144
15.33,36.71,1013.99,73.89,479.6824861518978
23.45,51.95,1005.23,76.17,461.8318956410249
27.24,69.13,1009.28,70.85,445.7910901551488
18.22,58.2,1017.09,81.92,462.1024352891105
14.15,39.28,1013.5,77.63,482.7472246552188
25.73,62.66,1010.15,54.66,458.854705014766
25.37,58.33,1013.49,51.42,456.2316395794088
15.02,37.64,1016.49,83.28,475.8603490573399
16.23,43.72,1009.96,83.01,470.4262085023813
23.62,49.21,1014.1,49.54,454.1539195054575
30.9,70.8,1008.48,67.48,445.9654914811051
13.26,41.74,1021.89,63.32,485.5308002056305
21.57,69.23,1011.94,81.73,448.29019057454286
14.29,46.18,1017.01,87.29,477.8058690827218
33.12,68.31,1010.3,42.29,455.3203060551873
11.48,44.58,1016.43,80.15,491.168031083224
14.31,42.86,1031.14,69.6,477.46000065025896
27.22,67.9,1005.73,57.29,453.418995916877
25.79,59.43,1008.61,64.3,447.5535995855445
26.48,51.43,1006.76,74.3,449.25512280732687
18.09,48.92,1010.6,52.11,466.7521195321327
21.24,41.67,1012.6,49.27,472.6153056753234
16.36,44.88,1018.34,76.0,480.67668496217726
13.45,40.73,1018.7,93.88,473.5434314153569
29.63,66.75,1018.08,58.46,445.2630648224872
6.15,40.77,1022.42,88.57,494.730824946655
26.27,59.44,1012.23,58.77,455.3632120218519
12.83,41.5,1013.12,86.07,483.4142804917289
8.35,42.85,1010.46,90.13,496.2137667843183
10.35,38.38,1020.77,74.55,489.97127185668296
6.5,38.5,1013.92,90.1,496.5441601588698
18.74,44.34,1019.4,55.16,481.67525447198767
19.09,56.51,1015.58,92.56,461.3174444061904
5.98,39.61,1017.27,84.86,494.85111605609
18.41,49.69,1006.66,80.55,465.3355220115208
18.86,51.43,1010.27,86.0,459.5706446948423
21.7,60.77,1018.07,88.15,456.6962925057542
29.09,75.33,1001.61,71.06,445.3831460963741
14.08,40.73,1017.52,91.49,471.35332605190825
31.77,76.09,1007.4,73.36,443.567853724636
7.84,40.07,1016.68,47.63,503.42355759516914
20.06,60.77,1017.19,88.73,458.7805245348679
12.85,41.14,1027.04,86.29,477.0459366588795
18.37,51.86,1018.8,74.3,473.57018188831313
8.33,38.08,1018.94,73.78,493.6087626273117
21.49,61.27,1019.81,63.21,462.2674857766778
7.41,40.81,1026.15,88.96,500.7933907352512
33.62,77.17,1009.38,63.71,445.08671305481295
31.54,72.58,1007.61,65.57,439.1313717087625
22.75,70.94,1008.03,81.95,453.4655517807352
24.17,59.44,1012.66,78.53,459.3917751488352
27.07,66.93,1017.32,55.38,460.68622659875786
13.09,43.67,1012.22,91.91,486.04165287349633
25.5,58.79,1016.02,64.4,451.9470524852739
12.98,39.64,1013.95,74.39,484.3700453442825
23.48,49.16,1002.7,70.22,456.7981347452238
30.28,70.98,1007.51,74.28,444.4092610036311
22.4,70.94,1008.06,84.52,454.197860500221
14.23,46.18,1017.39,87.29,475.840195773502
21.89,74.78,1010.35,80.39,454.801203614958
27.04,65.06,1013.33,52.37,450.6916032158016
10.12,40.0,1021.15,91.67,492.3047737159053
13.11,41.44,1015.55,74.45,483.2379953313559
12.85,40.35,1011.29,81.27,483.27515168262727
14.54,46.18,1015.29,94.48,475.5089126163003
20.77,56.85,1012.4,83.63,455.43222594724966
17.79,43.52,1020.65,68.29,469.774729267433
5.25,40.07,1019.48,67.7,509.19368660282817
24.68,48.06,1013.83,54.97,460.6171731294269
8.88,36.66,1026.61,76.16,492.49142147322334
14.05,40.71,1016.36,68.58,480.60504855691687
25.33,73.21,1002.19,97.24,445.9570444073617
22.37,50.78,1008.84,82.06,458.8861728220065
25.45,74.33,1015.53,80.95,447.3456388380728
26.44,71.77,1006.68,81.45,445.22688161024985
12.37,46.97,1013.95,90.76,478.38452412483866
25.79,75.6,1017.46,75.63,446.887781614606
22.85,59.15,1014.74,63.92,463.09132128639175
31.93,72.58,1006.9,56.27,439.2651107031725
26.45,71.37,1008.0,77.06,450.5910885378193
8.47,41.03,1021.72,70.16,495.2368974507617
27.11,69.59,1008.56,79.2,449.92708800839705
10.28,39.61,1020.43,69.09,491.03122452220987
27.19,71.58,1010.85,76.1,448.9529200460844
11.72,39.18,1024.19,68.53,479.7423956259372
25.53,57.17,1010.0,72.57,455.5669513674183
15.12,43.79,1016.37,75.62,482.5778228994412
15.77,58.16,1016.09,82.56,463.7074818591771
21.9,55.5,1018.85,60.27,468.0350659278824
23.24,68.31,1009.71,80.8,453.59534497982537
18.34,62.1,1020.52,78.6,466.1793424406772
30.19,64.79,1017.22,42.47,450.1903674437416
21.64,44.05,1007.73,74.79,458.9415747126335
11.11,37.5,1013.68,73.67,486.1281005783386
23.09,45.01,1012.25,43.95,464.6823134685636
26.13,71.25,999.8,88.47,443.92178678693466
6.71,40.72,1022.78,80.69,495.4565644864007
8.88,41.54,1019.05,80.77,497.1220009544535
23.38,58.82,1012.27,77.87,459.4758537585071
20.03,69.45,1013.47,86.66,455.31662195476974
21.76,60.27,1018.96,85.06,459.7532357530145
11.8,43.22,1008.57,78.01,484.1111784996781
7.82,38.91,1015.58,90.11,489.7735334075285
25.72,74.67,1016.64,75.93,447.032544088134
9.23,39.66,1019.44,76.11,494.2968401063286
23.45,69.05,1003.03,66.41,453.3712953131345
7.2,40.35,1011.83,95.59,497.2310866380938
19.66,59.87,1018.75,87.6,458.6179010142131
30.47,70.83,1010.91,46.94,458.27677585670114
8.67,40.77,1011.81,89.4,491.5916855081148
11.94,40.66,1016.61,96.11,480.206735194359
27.56,68.08,1010.8,59.18,444.7487481020948
20.52,43.79,1015.9,68.1,474.46487503703656
19.05,62.96,1020.48,83.04,467.4998272143364
13.01,41.49,1019.82,92.86,477.2432931310069
24.45,70.02,1010.75,71.37,457.7841863391175
19.69,56.65,1020.72,70.86,467.39662809417183
27.57,60.07,1016.52,54.75,452.6805743957554
23.63,63.57,1011.05,87.96,460.6842550019159
31.66,73.91,1004.49,68.13,443.53728790938857
7.4,40.72,1022.56,87.67,497.24486759899713
30.8,73.56,1007.39,75.78,443.8566791160276
17.68,53.16,1013.09,82.79,469.8993157171511
5.98,41.31,1001.66,89.5,497.4671552649152
21.62,50.05,1007.2,92.9,455.94225279809166
11.82,41.26,1020.74,91.14,477.6231864630352
25.35,74.33,1015.29,77.84,448.35886725802254
23.11,68.3,1017.83,86.62,452.0490332700949
22.83,65.18,1012.24,79.74,455.1164085773912
23.39,64.63,1020.45,58.22,461.2603119081339
23.67,72.24,1011.22,90.45,448.3889479748507
27.33,68.94,1007.04,61.83,444.1046291624934
21.2,59.39,1014.04,85.06,457.3754657147185
31.74,72.58,1007.26,59.58,437.537997006651
23.89,48.41,1010.48,62.31,454.08285444425127
22.92,58.62,1016.37,71.38,460.5317159709442
13.19,39.18,1023.67,66.78,481.033009515825
23.03,44.89,1010.26,59.85,458.3365033977346
11.52,40.03,1017.56,87.87,484.7055549370964
23.63,58.79,1017.2,67.68,455.69375040125954
9.26,40.78,1023.61,88.48,483.4482812448904
11.63,41.5,1013.6,87.11,489.9231259476628
20.19,62.26,1011.37,89.69,455.339103046161
23.07,65.27,1013.24,58.38,456.5524721755422
16.55,54.3,1017.95,60.84,473.67352225929136
27.53,72.58,1009.13,89.06,445.0096333479268
9.73,40.22,1011.48,87.88,493.7985759465847
27.0,73.17,1009.82,64.43,446.2960142576355
28.51,70.02,1010.58,54.68,454.5977048119355
30.51,70.79,1004.55,56.05,438.84285478656335
26.82,69.23,1013.28,50.86,448.1843968286376
23.92,71.98,1006.22,92.96,446.4868791473616
28.93,72.99,1007.23,64.41,446.341082683713
21.4,74.93,1014.58,80.85,447.7944796397181
6.76,36.25,1028.31,91.16,495.98130525649793
7.24,41.17,1020.35,80.56,498.5902718378611
9.45,36.71,1024.24,83.28,489.60026465421817
19.08,44.63,1020.14,43.36,472.3204102459512
17.1,43.52,1020.3,70.51,472.67016573237953
14.59,42.44,1012.7,83.92,483.0950135403976
28.62,68.24,1010.15,69.31,441.1954560043618
7.47,40.07,1015.45,50.3,501.8385203201277
11.06,36.71,1021.67,80.44,485.5628096651538
21.03,63.86,1014.84,71.72,462.23693598512193
11.43,44.78,1013.43,82.45,484.5856466069545
18.97,43.43,1012.72,75.69,465.1219133273676
25.96,71.64,1003.84,86.83,445.2666034666533
19.41,64.45,1009.44,64.05,467.78094039985166
29.29,71.14,1011.49,49.97,446.8138980929568
23.24,45.01,1012.21,45.23,467.0896597886753
14.66,41.66,1012.89,62.41,479.4008287012188
32.31,66.44,1009.6,63.92,441.16874972427735
20.86,63.73,1008.54,96.83,452.11902344326376
17.5,42.44,1012.55,76.85,478.85552188112143
11.34,43.67,1011.54,87.95,485.7899316928631
26.39,49.02,1007.62,70.82,449.44092797668543
6.33,42.07,1004.25,77.1,496.06796135908
32.5,73.68,1014.65,55.72,440.7384963661788
28.26,63.13,1012.0,68.35,452.9433436501992
26.33,61.41,1011.9,52.1,463.9714534552514
13.53,42.03,1017.52,84.02,477.7944134017155
24.49,49.82,1017.09,64.02,462.9637028519852
17.74,44.2,1018.87,58.59,466.6705711838871
24.13,45.61,1012.63,71.36,464.65390944901
10.64,41.04,1025.0,93.59,482.8277886329171
32.4,68.14,1004.44,34.53,436.5285849539572
29.19,70.32,1008.28,55.42,440.5477142751661
22.16,64.63,1020.81,68.47,463.8023238941829
15.33,36.71,1013.99,73.89,479.85087710208825
21.74,60.27,1015.82,88.96,453.85948398067217
28.71,51.43,1006.4,64.79,452.13882686216
13.15,41.14,1026.72,80.31,474.5207278049565
28.59,68.08,1013.2,42.96,448.27338141359496
28.76,51.43,1011.88,49.79,461.87690743499405
14.33,43.41,1015.43,55.4,474.3917333161202
11.31,39.61,1018.74,68.9,485.9197987641608
31.88,70.36,1006.2,57.51,451.51684878594926
22.72,64.15,1021.14,60.34,464.29903894610834
27.44,58.9,1003.86,66.74,454.6370482656758
9.32,41.39,1020.03,70.21,494.17944533834986
25.85,75.08,1006.24,57.73,456.1926290348573
30.08,67.25,1017.57,47.77,445.2713378006933
8.66,40.11,1032.86,75.31,489.871660364478
7.69,36.24,1013.08,88.37,496.350746864752
23.91,67.69,1008.28,66.71,451.6791370418756
18.53,48.98,1014.24,74.29,464.4000809769293
16.12,45.87,1008.15,86.12,468.85982271914384
10.73,25.36,1009.35,100.15,481.571581453724
30.24,68.3,1016.21,48.25,443.7682484957489
19.82,63.9,1013.19,78.96,462.06711371961416
26.71,77.95,1012.13,77.5,445.32492860995455
25.55,58.95,1017.12,51.84,455.4941831414714
26.38,59.92,1009.99,71.91,457.1994162582463
25.44,66.54,1011.9,56.76,451.2392327657624
26.13,47.93,1002.81,66.19,454.51456607452303
28.46,69.75,1009.46,79.75,446.00331539226295
27.02,61.86,1012.38,70.28,453.61210569991977
6.18,41.38,1020.23,81.38,503.5905127742791
8.99,36.66,1028.11,71.98,493.4003903735187
13.26,45.51,1015.99,69.82,484.3657715872792
18.49,41.1,1001.9,59.99,471.9988578197156
28.98,62.66,1009.1,52.62,450.4087770009214
20.3,44.9,1008.25,64.08,468.805598078114
20.62,68.12,1012.33,79.88,459.276619900666
17.06,58.96,1013.83,73.95,471.8904945347193
10.86,44.85,1014.15,88.36,488.20533874374365
20.67,57.5,1014.42,81.89,464.4236431286611
12.41,41.44,1015.46,76.9,484.8988442148255
27.67,69.59,1009.13,82.15,449.0570070231292
24.65,63.86,1018.37,56.15,455.1107938388528
23.03,54.42,1014.42,74.98,467.238273414253
17.66,60.08,1017.22,86.96,469.5517590460681
21.39,62.96,1019.49,72.24,464.5029473285649
14.58,42.07,1017.9,86.14,472.72208779737167
17.57,62.1,1019.51,86.14,464.7318717264095
26.94,71.14,1011.63,62.74,446.6118501665271
21.36,59.54,1007.99,92.62,459.17853870963785
24.6,57.32,1012.48,45.14,452.47721789553015
24.47,75.23,1012.43,75.25,451.7497709369283
9.0,39.18,1024.38,84.91,494.23233618284416
27.57,69.84,1004.91,68.37,438.9504325968758
20.37,60.08,1017.44,76.33,466.7477118133528
11.7,43.41,1016.08,62.27,477.29816227160586
14.93,39.16,1007.25,72.35,474.9764739487878
28.81,64.96,1000.46,68.05,440.3284699433587
8.42,43.14,1011.62,80.32,494.5850285841077
19.78,63.09,1019.01,78.39,461.900046536585
5.79,39.61,1021.64,85.41,502.7646061928945
33.15,70.4,1003.72,53.98,439.8839192245737
29.19,65.71,1013.85,50.5,455.4609519867018
16.55,46.18,1009.97,96.54,467.3252847929679
16.58,41.93,1022.36,45.24,478.9940034355052
21.3,48.92,1010.92,65.09,459.25898351452486
13.86,35.71,1015.21,63.16,485.4691850820504
31.01,71.37,1003.4,55.06,443.3767282900458
10.08,41.16,1023.14,96.03,481.6072777009184
15.89,38.73,1001.45,74.37,478.1145591280284
26.96,73.68,1013.81,84.77,441.6877528644548
15.19,42.03,1017.38,71.66,475.66830860687327
18.01,44.2,1018.84,55.72,468.9749828785672
4.7,39.9,1007.45,91.02,499.602716878777
22.68,59.54,1004.32,95.44,449.3002131216325
7.68,38.06,1020.92,83.87,494.00440506192666
26.19,49.3,1003.69,65.88,454.3744131158522
30.31,74.16,1010.69,58.81,448.0068414614634
12.32,41.62,1012.16,88.37,468.43232579150185
10.05,41.58,1021.35,95.19,481.4263514244215
13.98,44.58,1016.48,77.59,484.49122828298295
21.82,65.27,1013.86,72.81,460.3150613467726
20.37,52.05,1012.34,62.57,468.8859673315198
30.78,69.14,1007.27,62.77,444.051589524953
25.93,66.56,1004.97,76.35,445.5910161499306
11.46,39.3,1019.53,76.86,488.2574995933544
12.36,41.74,1020.58,69.24,490.36430438824766
20.41,50.32,1008.45,93.12,459.9071888158204
11.72,40.55,1020.74,86.22,486.9817319378425
21.37,57.76,1018.8,70.12,466.3832662604898
26.23,63.56,1013.57,65.81,451.2535146186757
9.16,42.44,1014.43,93.67,494.9219119817564
27.16,66.44,1011.2,73.37,444.116267673737
25.87,44.57,1007.43,55.92,459.2864582910077
16.25,40.89,1011.09,62.7,477.31125177978447
21.93,62.91,1013.45,74.62,461.677624301891
17.34,47.03,1013.36,98.13,476.14725958697375
29.85,71.58,1010.04,58.66,441.8065074236505
16.07,65.46,1013.88,87.11,462.3717107877745
13.55,40.71,1019.13,75.44,481.0882049141078
16.31,52.75,1024.4,55.69,469.5211051778763
7.99,36.08,1020.08,83.2,494.2326923168074
21.7,60.77,1018.07,88.15,456.989455707654
31.79,76.2,1007.89,56.3,446.9485332517984
17.7,49.78,1005.19,100.09,463.5557336813842
22.07,70.72,1010.52,82.96,455.0609678335253
15.95,42.24,1017.71,69.32,479.1482725982983
18.25,43.14,1011.51,55.16,474.9738625596599
13.73,41.92,1031.01,64.92,479.68092753202376
31.04,68.31,1010.54,42.74,453.6462810524705
15.85,46.18,1013.14,97.8,475.07797055983343
12.54,43.69,1017.26,83.59,481.397557404603
18.41,65.94,1010.23,84.71,463.0380154916861
29.0,75.33,1001.6,71.43,444.045988311706
14.18,53.82,1016.9,64.57,477.42888531147065
23.48,70.79,1006.7,88.57,444.8131582500186
28.85,58.33,1013.78,41.39,456.8002722770346
13.44,37.85,1009.78,99.13,481.0381367081762
3.63,38.44,1016.16,87.38,500.6587227086919
3.68,39.64,1011.31,84.05,503.1215949235216
15.24,48.6,1007.08,86.49,471.863460614788
15.27,56.89,1013.28,86.92,469.6599443318029
17.47,58.16,1016.36,82.26,468.4273377095018
23.95,73.67,1007.32,87.67,449.36245380245873
9.81,71.14,1019.43,87.93,481.9943829488771
17.1,48.98,1016.48,85.63,465.6431671803807
24.97,50.23,1015.6,56.79,466.0621072262494
15.16,50.88,1013.88,100.11,473.41474208172593
13.18,52.72,1024.67,75.96,481.2934260607331
25.21,64.63,1020.56,51.31,458.9687354765741
20.15,58.59,1014.13,91.96,455.63417774335954
24.19,65.48,1018.8,60.54,457.5602613910007
16.0,37.87,1020.24,78.41,474.0231827200765
5.6,38.91,1019.31,85.33,505.1528187712106
23.63,60.93,1006.41,83.06,452.4719527898303
29.62,71.8,1011.05,63.13,449.85284199448336
9.34,40.77,1012.14,90.81,490.4894863668141
16.41,47.24,1015.75,88.78,470.3475460989518
34.62,69.05,1000.68,38.35,435.7201273188027
18.32,42.28,1007.86,45.62,474.1884941739962
32.84,68.14,1003.59,43.88,438.1256587697689
14.1,39.16,1008.19,74.05,475.64679136266494
10.12,43.72,1011.33,97.62,485.9101707772388
29.22,60.23,1009.73,61.5,448.032201265756
16.97,44.92,1025.21,74.27,472.5345784034133
22.16,58.82,1009.61,87.16,456.3728533813665
24.8,72.24,1011.58,83.61,448.61657427647
32.78,71.22,1005.12,48.77,451.74787665523
13.65,44.6,1017.99,87.04,478.5012587515652
22.49,58.82,1009.73,85.19,457.17783811160245
19.08,59.15,1013.1,81.82,463.1341003759159
15.61,40.89,1010.48,80.26,478.1562640098858
21.18,70.02,1010.27,96.46,454.78194971096366
21.04,69.48,1011.07,89.92,451.6115174932693
12.52,41.44,1016.08,68.94,489.0823429878856
22.2,51.19,1009.2,82.95,458.66944752304335
27.89,70.94,1007.54,49.18,448.06707643458896
24.8,64.63,1020.69,55.74,460.1530777049648
27.46,67.69,1004.7,70.15,445.7972983156066
21.34,59.8,1016.92,77.06,463.16126858705576
9.72,43.41,1016.25,76.39,485.8153898561026
31.35,68.67,1005.26,66.85,444.8551381378886
31.01,69.13,1000.93,62.96,437.711802465028
22.51,59.21,1018.35,71.97,455.4109029506688
27.51,73.77,1002.42,90.88,447.77978145244
25.23,60.84,1017.79,56.42,453.3422934749694
14.78,38.58,1017.02,82.4,472.547987334456
25.77,71.37,1008.88,78.96,447.2509120848648
10.27,40.64,1020.63,84.6,487.7169461984488
3.91,35.47,1016.92,86.03,502.3492373112412
30.97,67.9,1005.98,55.6,441.6204839173586
24.75,52.84,1005.47,69.61,455.33470225744713
24.6,67.69,1008.67,67.69,452.7331414328757
20.88,57.85,1012.39,85.47,463.4266385806415
37.11,68.94,1006.23,31.15,440.6844395651947
19.0,58.95,1018.05,83.38,466.2814227908403
25.45,69.59,1008.51,83.17,458.05129497176415
14.1,41.04,1026.11,74.25,477.8973503369245
18.91,56.9,1006.98,84.07,460.6167097157317
18.03,53.16,1013.02,81.95,469.2099092628592
27.2,77.95,1009.48,78.53,444.8196077917759
25.76,57.32,1011.93,43.61,453.6259406695625
26.35,64.05,1009.81,81.24,444.96841457055694
13.39,44.58,1016.5,79.26,486.33426350039184
8.36,40.22,1011.6,89.18,496.0139804266081
10.33,40.69,1014.25,84.46,493.7751496167
21.41,50.32,1008.61,84.47,456.199166391493
16.3,38.73,1001.79,73.45,478.2074810416457
14.04,44.21,1021.93,86.12,480.2887345995413
23.7,69.23,1011.73,73.18,449.3024088405292
21.7,49.02,1008.74,82.8,457.31085870398687
24.91,64.45,1013.02,42.34,463.72223757568537
29.24,60.23,1009.62,59.71,448.9895528902229
9.45,39.04,1023.08,75.81,496.1279648196845
28.09,70.02,1010.84,51.29,450.30445426424393
27.68,69.34,1008.28,70.9,449.83106828652507
23.0,60.27,1018.72,84.25,454.49603539342
24.66,60.29,1018.0,59.56,456.0267041992148
9.43,37.14,1013.03,74.99,488.1452617596486
13.03,39.35,1015.34,79.18,485.5347586240338
6.9,39.81,1016.74,88.24,494.58848344344455
24.02,64.63,1020.49,55.17,462.6992219389104
14.09,43.99,1021.02,94.39,479.7270262141018
7.61,43.22,1014.8,86.92,488.88991222428336
25.65,69.45,1013.95,50.42,448.73433642868594
20.41,56.03,1019.94,55.85,470.2909481919685
16.41,44.92,1024.27,84.16,474.3282982792569
15.57,38.78,1013.51,95.38,475.7330609609362
22.51,68.63,1015.1,57.19,463.7966990260493
20.04,48.92,1011.14,68.92,460.9751597018986
12.6,41.5,1013.07,86.22,485.2803538291314
22.76,49.02,1007.5,88.56,454.7208306679397
13.52,41.44,1015.81,65.97,483.60047678086886
10.2,40.67,1016.15,73.2,495.1628762767957
5.56,45.87,1006.99,96.48,487.8543474153262
10.42,43.79,1016.22,90.75,486.2000136519664
12.99,40.55,1007.52,94.15,485.57232549971343
20.28,48.78,1017.4,82.51,462.8598350213712
16.57,53.82,1015.17,63.69,474.8103218947576
25.08,61.02,1010.01,73.21,447.9673156406613
19.69,39.72,1001.49,60.34,468.8550816147472
13.49,44.63,1019.12,70.02,484.0634037197786
11.49,44.2,1018.79,91.14,488.196794121948
16.15,41.85,1016.54,81.58,478.6627083569382
23.07,57.5,1015.7,75.47,458.6780080720494
21.95,68.63,1012.8,61.55,460.3996586990447
8.94,42.07,1018.9,85.93,486.1391476393295
28.25,57.19,1007.99,67.9,449.6856011632077
7.46,41.26,1009.63,96.51,495.6523931207
21.9,47.43,1006.8,60.48,464.8044480027038
6.72,39.85,1011.84,84.66,500.5394518149173
26.69,79.74,1008.29,73.79,442.6557582110984
21.12,62.52,1015.62,78.98,462.0030063116069
22.11,59.8,1016.74,73.9,468.4809539138335
16.07,44.58,1019.52,67.95,482.45946513524666
8.63,43.79,1016.08,83.25,496.7120757169855
10.46,41.26,1020.65,92.24,484.5409593773837
14.62,46.18,1014.75,96.81,473.977959709976
7.67,42.85,1012.02,93.35,490.7201166558445
10.25,41.46,1018.67,84.41,491.720501121286
28.69,58.33,1013.67,34.1,460.48059513920015
17.34,44.06,1015.84,74.88,468.7912639934895
27.55,73.68,1013.62,81.13,444.491632014468
18.01,62.26,1011.89,89.29,463.1084897856159
11.76,39.28,1016.9,91.06,489.0982784408102
10.06,39.61,1020.87,74.01,490.3410316156874
26.79,62.44,1011.51,72.46,452.3540701569826
13.8,44.21,1022.93,83.37,480.6414895068834
26.97,71.58,1010.13,75.16,446.90337453349787
25.68,67.79,1010.66,69.51,461.2214532731826
30.85,68.94,1007.31,68.99,437.8413052204706
21.61,58.62,1017.61,76.07,460.624402415326
20.76,59.04,1012.51,85.39,459.9856835650983
17.16,40.55,1000.26,72.21,472.7622524713205
17.37,40.55,1001.19,71.42,474.7730146324365
22.1,58.33,1013.71,69.09,453.1858821779997
23.4,65.06,1014.32,67.38,456.2617682199996
25.64,50.05,1006.97,67.72,453.06424540329215
13.57,42.99,1007.51,88.95,484.6814645690831
6.05,41.14,1027.69,86.93,493.5178116784205
13.7,43.22,1012.01,71.57,475.6210176013739
14.56,40.89,1010.94,79.57,481.642360766465
21.35,59.04,1012.28,95.71,457.486826066188
20.88,56.85,1010.91,84.28,452.37032575071424
25.53,59.57,1010.65,82.04,457.72031789974295
27.38,70.04,1011.18,72.26,441.6222776548288
23.0,66.05,1020.61,80.29,433.5062762632877
33.92,77.95,1010.15,58.89,443.3152617309348
23.73,59.15,1014.08,62.65,456.3778793003862
28.31,70.32,1007.88,47.0,445.76983020987154
27.16,47.43,1009.17,45.79,454.34275938424736
31.3,70.79,1004.3,54.37,439.903870389208
12.06,52.72,1024.53,80.05,480.5740672072161
24.16,66.05,1016.45,73.27,455.3802505060372
10.32,39.28,1016.56,94.13,491.3997430041434
